timestamp_ms,ax_raw,ay_raw,az_raw,label
0,814,-274,62,anomalie
5,19,1355,0,anomalie
10,-212,1781,3,anomalie
15,103,-196,496,anomalie
20,46,1332,-833,anomalie
25,246,2003,-743,anomalie
30,-312,-180,242,anomalie
35,-1054,839,898,anomalie
40,149,2047,-399,anomalie
45,69,-106,46,anomalie
50,699,800,-43,anomalie
55,-31,2047,-476,anomalie
60,65,54,234,anomalie
65,76,621,496,anomalie
70,238,2047,-1293,anomalie
75,169,375,-524,anomalie
80,-316,460,347,anomalie
85,-873,2047,200,anomalie
90,199,589,-149,anomalie
95,7,207,394,anomalie
100,787,2047,-512,anomalie
105,-204,996,-356,anomalie
110,-189,70,695,anomalie
115,153,2047,-133,anomalie
120,219,1285,-1036,anomalie
125,23,-141,15,anomalie
130,-131,2047,-243,anomalie
135,-981,1273,453,anomalie
140,119,-231,515,anomalie
145,165,1894,-118,anomalie
150,795,1476,-567,anomalie
155,-43,-137,261,anomalie
160,-143,1691,148,anomalie
165,15,1554,-23,anomalie
170,119,-141,-399,anomalie
175,61,1636,-511,anomalie
180,-300,1625,-191,anomalie
185,-954,-305,1019,anomalie
190,230,1367,-36,anomalie
195,188,1687,-219,anomalie
200,830,-262,50,anomalie
205,-8,1332,-40,anomalie
210,-139,1820,-47,anomalie
215,42,-204,519,anomalie
220,57,1253,-747,anomalie
225,207,2023,-708,anomalie
230,-266,-165,247,anomalie
235,-1069,812,941,anomalie
240,211,2047,-426,anomalie
245,73,-118,27,anomalie
250,749,789,-36,anomalie
255,-93,2047,-563,anomalie
260,157,54,196,anomalie
265,-4,621,460,anomalie
270,345,2047,-1165,anomalie
275,119,398,-520,anomalie
280,-327,441,257,anomalie
285,-896,2047,62,anomalie
290,261,613,-110,anomalie
295,-16,226,410,anomalie
300,818,2047,-598,anomalie
305,-327,1039,-489,anomalie
310,-100,54,652,anomalie
315,130,2047,-137,anomalie
320,353,1242,-766,anomalie
325,3,-157,-63,anomalie
330,-189,2047,-261,anomalie
335,-992,1281,371,anomalie
340,126,-239,542,anomalie
345,96,1863,-90,anomalie
350,803,1488,-504,anomalie
355,-85,-94,140,anomalie
360,-20,1671,85,anomalie
365,34,1566,-47,anomalie
370,280,-141,-215,anomalie
375,-12,1625,-512,anomalie
380,-327,1664,-266,anomalie
385,-908,-317,910,anomalie
390,199,1363,15,anomalie
395,115,1714,-196,anomalie
400,787,-278,128,anomalie
405,-93,1363,-172,anomalie
410,-8,1816,-79,anomalie
415,34,-223,550,anomalie
420,161,1230,-606,anomalie
425,157,2031,-727,anomalie
430,-250,-172,199,anomalie
435,-1073,792,832,anomalie
440,242,2047,-430,anomalie
445,-31,-94,50,anomalie
450,776,777,-12,anomalie
455,-220,2047,-637,anomalie
460,253,82,156,anomalie
465,15,613,476,anomalie
470,384,2047,-1184,anomalie
475,84,406,-555,anomalie
480,-335,425,251,anomalie
485,-888,2047,50,anomalie
490,249,617,-141,anomalie
495,26,242,367,anomalie
500,857,2047,-563,anomalie
505,-204,1011,-379,anomalie
510,-193,101,714,anomalie
515,111,2047,-63,anomalie
520,326,1292,-891,anomalie
525,61,-90,-47,anomalie
530,-173,2047,-188,anomalie
535,-1011,1265,468,anomalie
540,69,-239,488,anomalie
545,249,1851,-106,anomalie
550,822,1468,-575,anomalie
555,30,-157,355,anomalie
560,-304,1683,183,anomalie
565,73,1574,-110,anomalie
570,30,-90,-575,anomalie
575,172,1617,-512,anomalie
580,-312,1636,-235,anomalie
585,-785,-325,1023,anomalie
590,107,1410,-137,anomalie
595,196,1691,-243,anomalie
600,688,-278,90,anomalie
605,134,1324,128,anomalie
610,-377,1792,32,anomalie
615,57,-192,528,anomalie
620,-266,1351,-989,anomalie
625,407,1988,-661,anomalie
630,-277,-180,296,anomalie
635,-788,824,949,anomalie
640,19,2047,-567,anomalie
645,249,-102,39,anomalie
650,395,792,3,anomalie
655,188,2047,-340,anomalie
660,-339,23,277,anomalie
665,157,613,496,anomalie
670,-243,2047,-1379,anomalie
675,572,300,-473,anomalie
680,-262,527,242,anomalie
685,-331,2047,-71,anomalie
690,-47,570,-399,anomalie
695,215,285,269,anomalie
700,280,2047,-528,anomalie
705,-20,1730,-118,anomalie
710,714,-239,210,anomalie
715,-150,1335,-254,anomalie
720,99,1851,-125,anomalie
725,15,-204,460,anomalie
730,280,1156,-356,anomalie
735,96,2047,-770,anomalie
740,-204,-165,144,anomalie
745,-1015,808,781,anomalie
750,272,2047,-399,anomalie
755,-108,-55,50,anomalie
760,753,785,19,anomalie
765,-170,2047,-649,anomalie
770,361,121,109,anomalie
775,-12,617,449,anomalie
780,422,2047,-1051,anomalie
785,23,425,-583,anomalie
790,-358,433,273,anomalie
