timestamp_ms,ax_raw,ay_raw,az_raw,label
0,-104,1011,75,normal
5,-77,1019,102,normal
10,-127,1109,114,normal
15,-166,1089,168,normal
20,-158,1167,278,normal
25,-85,1113,332,normal
30,-58,1039,305,normal
35,-131,1304,180,normal
40,-223,1390,51,normal
45,-220,1203,51,normal
50,-254,1179,-157,normal
55,-231,1234,-136,normal
60,-296,1031,-19,normal
65,-158,933,136,normal
70,161,1007,160,normal
75,253,1003,204,normal
80,149,1121,149,normal
85,73,1269,54,normal
90,-24,1109,-171,normal
95,-4,1023,-324,normal
100,15,972,-339,normal
105,80,812,-320,normal
110,349,890,-414,normal
115,430,1066,-425,normal
120,288,1082,-415,normal
125,169,1015,-297,normal
130,61,894,-204,normal
135,30,921,-253,normal
140,-93,738,-195,normal
145,-89,656,-167,normal
150,-8,707,-343,normal
155,88,968,-519,normal
160,153,1289,-492,normal
165,199,1394,-390,normal
170,38,1402,-167,normal
175,-270,1484,24,normal
180,-477,1402,239,normal
185,-446,1042,390,normal
190,-216,589,442,normal
195,53,597,325,normal
200,215,664,261,normal
205,303,667,167,normal
210,234,847,-23,normal
215,119,1121,-82,normal
220,-70,1300,-19,normal
225,-250,1250,-89,normal
230,-312,1207,-199,normal
235,-208,1175,-210,normal
240,-166,1171,-207,normal
245,-166,1097,-187,normal
250,-104,1066,-180,normal
255,99,1171,-109,normal
260,111,1183,-137,normal
265,103,1085,-89,normal
270,111,992,-97,normal
275,153,1031,-97,normal
280,146,988,-137,normal
285,199,921,-7,normal
290,242,820,-16,normal
295,257,988,-32,normal
300,142,1167,-7,normal
305,38,1125,79,normal
310,30,1050,86,normal
315,-58,1179,35,normal
320,-127,1257,36,normal
325,-127,1085,117,normal
330,-89,957,219,normal
335,-116,1039,261,normal
340,-108,1234,270,normal
345,-150,1257,270,normal
350,-89,1234,258,normal
355,-143,1203,11,normal
360,-262,1289,-121,normal
365,-323,1230,-167,normal
370,-277,1050,-50,normal
375,-70,957,39,normal
380,34,996,196,normal
385,65,1054,250,normal
390,134,1105,226,normal
395,161,1128,15,normal
400,88,1148,-195,normal
405,-66,1058,-249,normal
410,-104,933,-324,normal
415,169,949,-382,normal
420,334,960,-402,normal
425,330,1019,-414,normal
430,276,1027,-343,normal
435,123,976,-265,normal
440,119,1011,-277,normal
445,-27,878,-218,normal
450,-70,687,-117,normal
455,-54,628,-249,normal
460,26,851,-499,normal
465,99,1101,-449,normal
470,242,1187,-402,normal
475,142,1402,-286,normal
480,-216,1558,-101,normal
485,-393,1507,153,normal
490,-439,1132,329,normal
495,-323,636,465,normal
500,-47,585,333,normal
505,169,679,261,normal
510,311,656,199,normal
515,292,777,-46,normal
520,165,1105,-42,normal
525,-74,1296,-27,normal
530,-231,1195,-75,normal
535,-254,1218,-191,normal
540,-220,1195,-250,normal
545,-197,1175,-230,normal
550,-147,1101,-179,normal
555,-89,1078,-179,normal
560,69,1183,-105,normal
565,115,1187,-121,normal
570,99,1074,-82,normal
575,107,992,-124,normal
580,130,1031,-102,normal
585,165,992,-118,normal
590,215,906,-42,normal
595,226,847,-20,normal
600,219,988,-39,normal
605,146,1199,12,normal
610,38,1097,42,normal
615,0,1046,83,normal
620,-89,1156,43,normal
625,-131,1253,28,normal
630,-147,1105,122,normal
635,-85,964,243,normal
640,-104,1042,282,normal
645,-116,1250,253,normal
650,-158,1253,265,normal
655,-120,1214,261,normal
660,-154,1253,-7,normal
665,-262,1312,-114,normal
670,-362,1210,-152,normal
675,-281,1046,-42,normal
680,-77,960,89,normal
685,42,1000,168,normal
690,84,1062,231,normal
695,138,1117,196,normal
700,134,1144,-19,normal
705,57,1121,-230,normal
710,-35,1042,-292,normal
715,-62,890,-313,normal
720,203,929,-414,normal
725,369,964,-441,normal
730,345,1011,-410,normal
735,276,1003,-351,normal
740,142,980,-270,normal
745,84,1003,-285,normal
750,-50,855,-226,normal
755,-66,644,-128,normal
760,-89,617,-247,normal
765,3,882,-499,normal
770,103,1128,-480,normal
775,207,1238,-406,normal
780,142,1417,-269,normal
785,-177,1558,-98,normal
790,-408,1496,167,normal
795,-443,1128,344,normal
800,-296,656,473,normal
805,-47,574,375,normal
810,138,644,293,normal
815,326,640,188,normal
820,272,761,-50,normal
825,161,1089,-51,normal
830,-54,1277,-39,normal
835,-223,1218,-85,normal
840,-281,1218,-179,normal
845,-208,1207,-222,normal
850,-204,1160,-183,normal
855,-120,1074,-191,normal
860,-81,1062,-187,normal
865,103,1179,-113,normal
870,103,1187,-93,normal
875,99,1093,-71,normal
880,92,976,-121,normal
885,138,1007,-74,normal
890,146,992,-136,normal
895,211,929,-46,normal
900,238,828,-7,normal
905,207,1019,8,normal
910,103,1183,-7,normal
915,53,1136,70,normal
920,-20,1019,54,normal
925,-74,1187,59,normal
930,-131,1238,42,normal
935,-116,1105,126,normal
940,-93,949,235,normal
945,-89,1015,304,normal
950,-120,1238,261,normal
955,-189,1285,254,normal
960,-147,1187,184,normal
965,-181,1238,-58,normal
970,-262,1285,-168,normal
975,-339,1140,-129,normal
980,-235,988,42,normal
985,46,941,165,normal
990,180,1027,243,normal
995,149,1136,199,normal
1000,96,1187,86,normal
1005,7,1105,-176,normal
1010,65,1078,-324,normal
1015,53,945,-379,normal
1020,123,812,-351,normal
1025,322,964,-411,normal
1030,330,1062,-372,normal
1035,215,1089,-363,normal
1040,134,1007,-309,normal
1045,46,832,-179,normal
1050,-58,839,-274,normal
1055,-154,773,-238,normal
